data_year,ori,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,county_name,agency_type_name,population_group_desc,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
2018,TX0010100,Palestine,,TX,West South Central,South,ANDERSON,City,"Cities from 10,000 thru 24,999",18238,31,5,36,2,9,11,33,14,47,2.58
2018,TX0280000,Caldwell,,TX,West South Central,South,CALDWELL,County,"MSA counties from 10,000 thru 24,999",21187,32,28,60,2,31,33,34,59,93,4.39
2018,TX0300300,Clyde,,TX,West South Central,South,CALLAHAN,City,"Cities from 2,500 thru 9,999",3890,,,,,,,,,,
2018,TX0313200,Rancho Viejo,,TX,West South Central,South,CAMERON,City,"Cities under 2,500",2483,7,0,7,1,0,1,8,0,8,3.22
2018,TX0420000,Coleman,,TX,West South Central,South,COLEMAN,County,"Non-MSA counties under 10,000",2942,,,,,,,,,,
2018,TX0431800,Murphy,,TX,West South Central,South,COLLIN,City,"Cities from 10,000 thru 24,999",21084,17,0,17,4,10,14,21,10,31,1.47
2018,TX0450300,Weimar,,TX,West South Central,South,COLORADO,City,"Cities under 2,500",2189,6,0,6,1,1,2,7,1,8,3.65
2018,TX1084100,University of Texas:,Rio Grande Valley,TX,West South Central,South,HIDALGO,University or College,"Cities under 2,500",0,37,21,58,7,15,22,44,36,80,
2018,TX1540100,Brady,,TX,West South Central,South,MCCULLOCH,City,"Cities from 2,500 thru 9,999",5272,,,,,,,,,,
2018,TX1740600,Nacogdoches County Constable's Office,,TX,West South Central,South,NACOGDOCHES,Other,"Cities under 2,500",0,,,,,,,,,,
2018,TX1870200,Livingston,,TX,West South Central,South,POLK,City,"Cities from 2,500 thru 9,999",5128,,,,,,,,,,
2018,TX1950200,Pecos,,TX,West South Central,South,REEVES,City,"Cities from 10,000 thru 24,999",10094,,,,,,,,,,
2018,TX2070000,Schleicher,,TX,West South Central,South,SCHLEICHER,County,"Non-MSA counties under 10,000",2928,,,,,,,,,,
2018,TX2260100,San Angelo,,TX,West South Central,South,TOM GREEN,City,"Cities from 100,000 thru 249,999",101084,,,,,,,,,,
2018,TX2450100,Lyford,,TX,West South Central,South,WILLACY,City,"Cities from 2,500 thru 9,999",2546,4,0,4,1,0,1,5,0,5,1.96
2018,TX2460500,Round Rock,,TX,West South Central,South,TRAVIS; WILLIAMSON,City,"Cities from 100,000 thru 249,999",127354,153,18,171,16,54,70,169,72,241,1.89
2018,TXDPS4400,Texas Department of Public Safety Ranger Division,,TX,West South Central,South,TRAVIS,Other State Agency,"Cities under 2,500",0,,,,,,,,,,
2018,TXEPA0100,"Environmental Protection Agency, Dallas",,TX,West South Central,South,N/A,Federal,"Cities under 2,500",0,,,,,,,,,,
2018,TX0157000,Texas A&M University:,San Antonio,TX,West South Central,South,BEXAR,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0190800,Hooks,,TX,West South Central,South,BOWIE,City,"Cities from 2,500 thru 9,999",2740,,,,,,,,,,
2018,TX0203000,Iowa Colony,,TX,West South Central,South,BRAZORIA,City,"Cities under 2,500",1416,,,,,,,,,,
2018,TX0203500,Independent School District:,Columbia-Brazoria,TX,West South Central,South,BRAZORIA,Other,"Cities under 2,500",0,4,0,4,1,0,1,5,0,5,
2018,TX0330100,Panhandle,,TX,West South Central,South,CARSON,City,"Cities under 2,500",2337,4,0,4,0,0,0,4,0,4,1.71
2018,TX0670500,Rising Star,,TX,West South Central,South,EASTLAND,City,"Cities under 2,500",829,,,,,,,,,,
2018,TX0920800,Kilgore College,,TX,West South Central,South,N/A,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0930100,Navasota,,TX,West South Central,South,GRIMES,City,"Cities from 2,500 thru 9,999",7677,17,0,17,1,7,8,18,7,25,3.26
2018,TX101051J,Houston City Marshal's Office,,TX,West South Central,South,HARRIS,Other,"Cities under 2,500",0,,,,,,,,,,
2018,TX1070200,Malakoff,,TX,West South Central,South,HENDERSON,City,"Cities under 2,500",2300,,,,,,,,,,
2018,TX1400500,Sudan,,TX,West South Central,South,LAMB,City,"Cities under 2,500",905,,,,,,,,,,
2018,TX1451000,Jewett,,TX,West South Central,South,LEON,City,"Cities under 2,500",1217,,,,,,,,,,
2018,TX1700100,Conroe,,TX,West South Central,South,MONTGOMERY,City,"Cities from 50,000 thru 99,999",87544,113,6,119,10,37,47,123,43,166,1.90
2018,TX1701400,Willis,,TX,West South Central,South,MONTGOMERY,City,"Cities from 2,500 thru 9,999",6515,15,0,15,2,2,4,17,2,19,2.92
2018,TX2300000,Upshur,,TX,West South Central,South,UPSHUR,County,"MSA counties from 25,000 thru 99,999",30217,,,,,,,,,,
2018,TXCBP6500,"U.S. Border Patrol, Uvalde",,TX,West South Central,South,N/A,Federal,"Cities under 2,500",0,,,,,,,,,,
2018,TXDPS6400,"Highway Patrol, Waco",,TX,West South Central,South,MCLENNAN,State Police,MSA State Police,0,,,,,,,,,,
2018,TX0271200,Cottonwood Shores,,TX,West South Central,South,BURNET,City,"Cities under 2,500",1198,,,,,,,,,,
2018,TX0572800,University of Texas:,Dallas,TX,West South Central,South,DALLAS,University or College,"Cities under 2,500",0,25,33,58,3,15,18,28,48,76,
2018,TX0740200,Honey Grove,,TX,West South Central,South,FANNIN,City,"Cities under 2,500",1680,,,,,,,,,,
2018,TX0840600,Kemah,,TX,West South Central,South,GALVESTON,City,"Cities under 2,500",2060,,,,,,,,,,
2018,TX1011100,Jacinto City,,TX,West South Central,South,HARRIS,City,"Cities from 10,000 thru 24,999",10675,18,1,19,3,4,7,21,5,26,2.44
2018,TX1015000,Harris County Constable's Office,,TX,West South Central,South,HARRIS,Other,"Cities under 2,500",0,,,,,,,,,,
2018,TX1090000,Hill,,TX,West South Central,South,HILL,County,"Non-MSA counties from 10,000 thru 24,999",22211,,,,,,,,,,
2018,TX1291300,Independent School District:,Terrell,TX,West South Central,South,N/A,Other,"Cities under 2,500",0,,,,,,,,,,
2018,TX1410100,Lampasas,,TX,West South Central,South,LAMPASAS,City,"Cities from 2,500 thru 9,999",7992,20,1,21,1,10,11,21,11,32,4.00
2018,TX1460300,Dayton,,TX,West South Central,South,LIBERTY,City,"Cities from 2,500 thru 9,999",8070,20,0,20,2,9,11,22,9,31,3.84
2018,TX1660100,Cameron,,TX,West South Central,South,MILAM,City,"Cities from 2,500 thru 9,999",5524,,,,,,,,,,
2018,TX1720500,Naples,,TX,West South Central,South,MORRIS,City,"Cities under 2,500",1319,1,0,1,3,1,4,4,1,5,3.79
2018,TX1810100,Bridge City,,TX,West South Central,South,ORANGE,City,"Cities from 2,500 thru 9,999",8208,14,1,15,2,5,7,16,6,22,2.68
2018,TX1810300,Pinehurst,,TX,West South Central,South,ORANGE,City,"Cities under 2,500",2070,5,0,5,1,2,3,6,2,8,3.86
2018,TX1880400,Texas State Technical College:,Amarillo,TX,West South Central,South,POTTER,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX1910000,Randall,,TX,West South Central,South,RANDALL,County,"MSA counties from 10,000 thru 24,999",24115,86,65,151,10,49,59,96,114,210,8.71
2018,TX2100000,Shelby,,TX,West South Central,South,SHELBY,County,"Non-MSA counties from 10,000 thru 24,999",18985,13,8,21,2,7,9,15,15,30,1.58
2018,TX2204900,University of North Texas:,Health Science Center,TX,West South Central,South,TARRANT,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0080100,Bellville,,TX,West South Central,South,AUSTIN,City,"Cities from 2,500 thru 9,999",4257,10,0,10,1,1,2,11,1,12,2.82
2018,TX0080800,San Felipe,,TX,West South Central,South,AUSTIN,City,"Cities under 2,500",833,,,,,,,,,,
2018,TX0142300,Texas A&M University:,Central Texas,TX,West South Central,South,BELL,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0550100,Van Horn,,TX,West South Central,South,CULBERSON,City,"Cities under 2,500",1899,,,,,,,,,,
2018,TX0650100,Clarendon,,TX,West South Central,South,DONLEY,City,"Cities under 2,500",1741,,,,,,,,,,
2018,TX0790400,Stafford,,TX,West South Central,South,HARRIS; FORT BEND,City,"Cities from 10,000 thru 24,999",18393,47,3,50,11,15,26,58,18,76,4.13
