type,agency,description,total_officers
School,Abilene Christian University,NA,14
School,Alvin Community College,NA,12
School,Amarillo College,NA,10
School,Angelo State University,NA,15
School,Austin College,NA,8
School,Austin Community College District,NA,82
School,Baylor Health Care System,NA,53
School,Brazosport College,NA,9
School,Central Texas College,NA,8
School,Cisco College,NA,1
School,College of the Mainland,NA,7
School,Concordia University,NA,4
School,Dallas County Community College District,NA,129
School,El Paso Community College,NA,35
School,Grayson College,NA,7
School,Hardin-Simmons University,NA,5
School,Houston Baptist University,NA,10
School,Houston Community College,NA,67
School,Kilgore College,NA,7
School,Lamar University,Beaumont,18
School,Laredo Community College,NA,19
School,Lone Star College System District,NA,112
School,Lubbock Christian University,NA,2
School,McLennan Community College,NA,9
School,Midwestern State University,NA,11
School,Paris Junior College,NA,5
School,Prairie View A&M University,NA,34
School,Rice University,NA,26
School,San Jacinto College,Central Campus,31
School,Southwestern University,NA,6
School,Stephen F. Austin State University,NA,27
School,St. Mary's University,NA,16
School,St. Thomas University,NA,6
School,Sul Ross State University,NA,6
School,Tarleton State University,NA,15
School,Texas A&M International University,NA,20
School,Texas A&M University,College Station,74
School,Texas A&M University,Commerce,23
School,Texas A&M University,Corpus Christi,16
School,Texas A&M University,Galveston,11
School,Texas A&M University,San Antonio,14
School,Texas Christian University,NA,24
School,Texas Southern University,NA,34
School,Texas State Technical College,Harlingen,10
School,Texas State Technical College,Waco,8
School,Texas State Technical College,West Texas,6
School,Texas State University,San Marcos,34
School,Texas Tech University,Lubbock,69
School,Texas Woman's University,NA,20
School,Trinity Valley Community College,NA,9
School,Tyler Junior College,NA,16
School,University of Houston,Central Campus,58
School,University of Houston,Clearlake,16
School,University of Houston,Downtown Campus,23
School,University of North Texas,Denton,42
School,University of Texas,Arlington,45
School,University of Texas,Austin,93
School,University of Texas,Dallas,27
School,University of Texas,El Paso,28
School,University of Texas,"Health Science Center, San Antonio",36
School,University of Texas,"Health Science Center, Tyler",7
School,University of Texas,Houston,75
School,University of Texas,Medical Branch,68
School,University of Texas,Permian Basin,14
School,University of Texas,Rio Grande Valley,47
School,University of Texas,San Antonio,43
School,University of Texas,Southwestern Medical School,44
School,University of Texas,Tyler,12
School,West Texas A&M University,NA,19
Tribal Agencies,Ysleta del Sur Pueblo Tribal,NA,17
Other Agencies,Amarillo International Airport,NA,13
Other Agencies,Dallas-Fort Worth International Airport,NA,208
Other Agencies,Denton County Water District,NA,16
Other Agencies,Hospital District,Dallas County,110
Other Agencies,Hospital District,Tarrant County,46
Other Agencies,Houston Metropolitan Transit Authority,NA,200
Other Agencies,Independent School District,Alief,46
Other Agencies,Independent School District,Alvin,33
Other Agencies,Independent School District,Angleton,11
Other Agencies,Independent School District,Aubrey,3
Other Agencies,Independent School District,Austin,81
Other Agencies,Independent School District,Barbers Hill,6
Other Agencies,Independent School District,Bastrop,10
Other Agencies,Independent School District,Bay City,9
Other Agencies,Independent School District,Brownsboro,2
Other Agencies,Independent School District,Brownsville,53
Other Agencies,Independent School District,Calhoun County,3
Other Agencies,Independent School District,Centerpoint,2
Other Agencies,Independent School District,Columbia-Brazoria,5
Other Agencies,Independent School District,Conroe,76
Other Agencies,Independent School District,Corpus Christi,41
Other Agencies,Independent School District,Corsicana,11
Other Agencies,Independent School District,Duncanville,6
Other Agencies,Independent School District,East Central,15
Other Agencies,Independent School District,Ector County,27
Other Agencies,Independent School District,Edinburg,84
Other Agencies,Independent School District,El Paso,39
Other Agencies,Independent School District,Floresville,6
Other Agencies,Independent School District,Galveston,10
Other Agencies,Independent School District,Gonzales,1
Other Agencies,Independent School District,Hallsville,5
Other Agencies,Independent School District,Houston,186
Other Agencies,Independent School District,Humble,41
Other Agencies,Independent School District,Hutto,6
Other Agencies,Independent School District,Idalou,1
